iter	timestamp	metric	delta	kept	description
1	2026-08-29T00:00:00	100	+100	yes	src/raas/sse.py coverage 0% -> 100% (17 tests, 3344 passed)
2	2026-08-29T00:00:00	100	+77	yes	src/api/metrics_routes.py coverage 23% -> 100% (11 tests)
3	2026-08-29T00:00:00	100	+48	yes	src/core/command_sanitizer.py coverage 90% -> 100% (4 tests; pre-existing 7 failures unrelated)
4	2026-08-29T00:00:00	100	+82	yes	src/core/tiered_store.py coverage 18% -> 100% (21 tests); fixed asdict() recursion-bug that left _serialize_obj dead
5	2026-09-08T00:00:00	100	+100	yes	src/core/learner.py coverage 0% -> 100% (21 tests); added restore_real_memory_store fixture to un-mock MemoryStore for unit tests
6	2026-09-10T00:00:00	100	+100	yes	src/core/adapters/mcp_capability_adapter.py coverage 94% -> 100% (2 tests); bundled Phase 2A capability-bus sanitizer-gate tests, license-middleware BaseHTTPMiddleware fix, tool_registry.violations -> blocked_reason
7	2026-09-10T00:00:00	100	+100	yes	src/core/agi_score.py coverage 0% -> 100% (30 tests); added router-import-failure except-branch test to reach lines 186-187
8	2026-09-10T00:00:00	100	+100	yes	src/core/{model_alias,tool_names,signals/events,cost_estimator,execution_context}.py all reached 100% coverage (105 tests in tests/core/); relocated root test_cost_estimator.py and test_execution_context.py into gate scope
9	2026-09-10T00:00:00	100	+100	yes	src/core/{signals,command_surface,timeout_manager,mission_tracer,mcu_gate}.py at 100% coverage (115 tests in gate scope: tests/core/test_signals_pipeline.py, test_command_surface.py, test_timeout_manager.py, test_mission_tracer.py, test_mcu_gate.py; 2524 gate tests passed)
10	2026-09-10T00:00:00	100	+100	yes	src/core/{buzz_adapter,tool_permission_registry,file_lock}.py reached 100% coverage (68 tests in gate scope: tests/core/test_buzz_adapter.py, test_tool_permission_registry.py, test_file_lock.py; 2592 gate tests passed)

11	2026-09-10T00:00:00	100	+100	yes	src/core/subagent_reviewer.py coverage 55% -> 100% (30 tests); relocated test_verifier.py, test_world_model.py, test_water_protocol.py into gate scope (137 tests total); 2729 gate tests passed

12	2026-09-10T00:00:00	100	+100	yes	src/core/verifier.py (16 missing lines), src/core/world_model.py (62 missing lines) attained 100% coverage (35 new boundary and exception-fallback tests in tests/core/test_verifier.py and test_world_model.py); ALL gate test directories verified clean.
13	2026-09-11T00:00:00	100	+100	yes	src/core/{audit_trail,tool_output_validator,permission_registry,error_responses,logging_config,gateway_client,signals/posthog_sink}.py attained 100% coverage (36 new tests; 2795 gate tests passed); all checks ruff clean.
14	2026-09-11T00:00:00	100	+100	yes	src/core/{health_reporter,memory_scope,pre_merge_conflict_checker,service_credits,webhook_events,raas_auth} attained 100% coverage (46 new tests; 2841 gate tests passed); all checks ruff clean.
15	2026-09-11T00:00:00	100	+100	yes	src/core/{compression,device_certificate,machine_fingerprint,memory_bridge,telemetry_collector}.py attained 100% coverage (230 tests, 689/689 stmts); added conftest HOME sandbox redirection; 2855 gate tests passed; all checks ruff clean.
16	2026-09-11T00:00:00	100	+100	yes	src/core/{telemetry_consent,telemetry_init,telemetry_models,telemetry_reporter,telemetry_sink_adapter,certificate_store}.py attained 100% coverage (65 tests in test_telemetry_trust_coverage.py); fixed TypeError in telemetry_consent.py; 2920 gate tests passed; all checks ruff clean.
17	2026-09-11T00:00:00	100	+100	yes	src/core/{agent_base,agent_schema,context_flow,orchestrator/rollback,rate_limit,rate_limit_client,rollback,sentry_init,workflow_state}.py attained 100% coverage (38 tests in test_orchestration_core_coverage.py, 426/426 stmts); 2967 gate tests passed; all checks ruff clean.
